Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
Black And White Tattoo Studio,4.7,307,blackandwhitetattoostudios.co.za,+27 84 288 7525,130 11th St - Parkmore - Sandton - 2196 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,10a.m. - 5p.m.,-26.0994375,28.0469375
Convoy Tattoos,4.8,6,https://convoy-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 60 352 9467,94 Helen Joseph St - Johannesburg - 2001 - South Africa,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,8:30a.m. - 6p.m.,-26.2036875,28.04606249999999
Tattoos By Dee (Maboneng),5.0,29,http://www.tattoosbydee.co.za/,+27 82 255 7795,20 Kruger Street. Cnr Fox Street Next to Living Room Jozi Maboneng - Marshalltown - Johannesburg - 2096 - South Africa,Closed,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 5:30p.m.,10:30a.m. - 3p.m.,10:30a.m. - 4:30p.m.,-26.2046875,28.05931249999999
Ash J Ink,4.9,23,,+27 61 369 2545,16 Hammond Rd - West Turffontein - Johannesburg South - 2190 - South Africa,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,6a.m. - 11p.m.,-26.259812500000002,28.03081250000001
Sa Hardcore Social Club,4.8,72,,+27 11 327 2812,16A 4th Ave - Parkhurst - Randburg - 2193 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 4p.m.,-26.1415625,28.01718749999999
John'S Custom Tattoo & Piercing,5.0,32,,+27 82 434 2007,94C Rietfontein Rd - Primrose - Johannesburg - 1401 - South Africa,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed,-26.18981250000001,28.15943750000001
Empire Tattoos,4.8,86,https://www.facebook.com/Empire-Tattoos-211594895541393/?pnref=lhc,+27 82 931 7563,14th Avenue Shop 106 - Fairlands on 14th Shopping Centre - Fairland - Johannesburg - 2000 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-26.150812500000008,27.94393749999999
Black Hounds Studio,5.0,28,blackhounds.co.za,+27 67 979 5807,9 4th Ave - Parkhurst - Johannesburg - 2193 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-26.142562499999997,28.016687499999975
Alain Tattoos,3.7,3,alaintattoos.co.za,+27 82 448 0716,28B Garden Rd - Orchards - Johannesburg - 2192 - South Africa,,,,,,,,-26.155437500000005,28.077187500000022
Nando Tatu,4.7,15,nandotatu.com,+27 78 647 7264,37 Henry Nxumalo St - Newtown - Johannesburg - 2001 - South Africa,9:30a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 9p.m.,9:30a.m. - 3p.m.,-26.2028125,28.0300625
Dag'S Art Studio,5.0,20,https://dags-art-studio.business.site/?utm_source=gmb&utm_medium=referral,+27 62 043 2493,Shop 118 Newgate Shopping Centre - 103 Rahima Moosa St - Newtown - Johannesburg - 2001 - South Africa,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 4p.m.,-26.2021875,28.03643749999999
Xplicit Ink Tattoos,5.0,7,https://xplicitinktattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 65 856 1849,18 Arun St - Riverlea - Johannesburg - 2093 - South Africa,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 6p.m.,Closed,-26.2105625,27.97643749999999
Concepto Ink,4.8,6,,+27 83 531 9734,440 Louis Botha Ave - Highlands North - Johannesburg - 2192 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 6p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,10a.m. - 5:30p.m.,-26.1471875,28.08693750000002
Cobra Ink,4.5,4,,+27 74 248 6582,23 - Fashion Kapitol - 130 Pritchard St - Hillbrow - Johannesburg - 2038 - South Africa,,,,,,,,-26.2025625,28.049187500000002
The Tattoo Gallery,4.7,29,https://www.thetattoogallery.co.za/,+27 11 794 3821,Upper Level - Shop 14 Honey Crest Shopping Centre - Beyers Naud̩ Dr & - Duiker Ave - Randpark Ridge - Johannesburg - 2156 - South Africa,Closed,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,-26.0931875,27.939562500000008
Hand Of Mysteries Tattoo,4.9,46,heartandhandtattoos.com,,Shop 20 - Devon Valley Centre - 122 9th Ave - Weltevredenpark - Johannesburg - 2030 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.136312499999995,27.93306249999999
Wayne'S Tattoos,4.7,60,,+27 11 682 3798,Comaro Shopping Center - Comaro St - Bassonia - Johannesburg South - 2190 - South Africa,,,,,,,,-26.278937499999998,28.067062500000006
Sorry Mom Tattoo Art Studio,4.8,87,sorrymomtattoos.co.za,+27 71 674 6801,Shop UL22 - Lonehill Shopping Centre - Lonechill Blvd - Lone Hill - Johannesburg - 2062 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 4p.m.,9a.m. - 1p.m.,-26.014312500000003,28.0253125
Emerald Rain Tattoos,4.7,9,emeraldraintattoos.com,+27 73 580 4842,39 Gleneagles Rd - Greenside - Randburg - 2195 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-26.145812500000005,28.011812499999976
Tattoo'S By Mr Dee'S,4.0,12,,+27 82 526 0333,Shop No. 2 - Northcliff Corner Shopping Centre - Beyers Naude Dr - Northcliff - Johannesburg - 2123 - South Africa,,,,,,,,-26.1454375,27.98406249999998
Buzz Inc Tattoo Studio,5.0,81,buzztattoo.co.za,+27 83 355 5537,All Saints Centre - Windsor Way - Olivedale - Johannesburg - 1709 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.053312500000004,27.97156249999999
Rising Dragon Tattoo,4.6,178,risingdragontattoo.co.za,+27 73 314 0437,64 Crawford Dr - Douglasdale - Johannesburg - 2191 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-26.043562499999993,27.998562500000006
Black Hat Tattoos,5.0,2,,+27 68 272 0660,48 Sussex Rd - Parkwood - Johannesburg - 2193 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.1496875,28.037437499999996
Rumble And Hum Tattoo,4.8,250,rumbleandhum.com,+27 66 150 8123,Shop 25 - Town square Shopping centre - Weltevredenpark - Johannesburg - 1709 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed,-26.136812499999998,27.918812500000016
Ink Pride Tattoos And Piercing,5.0,1,inkpridetattoos.co.za,+27 83 404 7804,280 Corlett Dr - Corlett Gardens - Johannesburg - 2018 - South Africa,,,,,,,,-26.1253125,28.094062499999993
Exclusive Ink,5.0,22,exclusiveink.co.za,+27 63 143 9624,Cramerview Centre - 277 Main Rd - Bryanston - Johannesburg - 2060 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 2p.m.,Closed,-26.073312500000007,28.01281249999998
Ross Ink Tattoos,4.8,75,,+27 82 904 3864,339 Jan Smuts Ave - Craighall Park - Randburg - 2196 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,-26.1235625,28.030687500000013
Migration Tattoos,5.0,20,,+27 61 448 6059,0B 5th St - Florida Glen - Johannesburg - 0157 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-26.167687500000007,27.946562499999985
Geoff Squires Tattoos,5.0,69,geoffsquirestattoos.co.za,+27 84 847 9527,90 Palliser Rd - Eastleigh - Edenvale - 1609 - South Africa,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,Closed,-26.128437499999997,28.163312500000004
Blackneedle_Sa,5.0,4,https://blackneedle-sa.business.site/?utm_source=gmb&utm_medium=referral,+27 81 787 4171,97 Commissioner St - Marshalltown - Johannesburg - 2000 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-26.205312500000005,28.041812499999978
Timeless Electric,,,,+27 83 655 2297,70 Juta St - Braamfontein - Johannesburg - 2000 - South Africa,,,,,,,,-26.1946875,28.034687500000004
Customized Tattoos,4.0,7,https://ubetabeliveit.wixsite.com/customizedtattoos,,Johannesburg 22 blue crane nest Johannesburg Honeydew - 2118 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 3p.m.,12 - 3p.m.,-26.2075625,28.047062499999996
Sa Tattoo Supply,4.2,5,satattoosupply.co.za,+27 79 865 0882,53 Dunvegan St - Sydenham - Johannesburg - 2192 - South Africa,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,7:30a.m. - 4p.m.,Closed,Closed,-26.153437500000003,28.094062499999993
Be Kind Tattooing,5.0,32,bekindtattooing.co.za,+27 72 193 2651,7 Susman Ave - Blairgowrie - Johannesburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,Closed,-26.119812500000002,28.01243749999999
Royal Ink_Sa,4.8,37,,+27 61 345 7949,83 Linksfield Rd - Dowerglen - Edenvale - 1612 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 4p.m.,Closed,-26.1499375,28.137687499999984
True Love Tattoo,5.0,26,,+27 10 495 6014,Shop no. 9 Linden Square Shopping Centre - Corner of 4th Avenue and - 8th St - Randburg - 2193 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed,-26.1415625,27.99368749999998
Adam'S Eden Tattoos,5.0,62,,+27 71 493 5480,12 Emma St - Eden Glen - Edenvale - 1609 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,Closed,-26.127187499999998,28.168937500000013
Little California Tattoo & Music Studio,5.0,7,littlecalifornia.co.za,+27 64 631 6469,2 Tyrwhitt Ave - Rosebank - Johannesburg - 2196 - South Africa,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,11a.m. - 5p.m.,-26.145937500000002,28.0373125
Desidera Tattoo,4.9,16,https://www.instagram.com/desideratattoo/,+27 79 692 6852,Unit 1 Delta Heights - 94 Conrad Dr - Blairgowrie - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.114312500000004,28.0180625
Inkspiration Tattoos,5.0,1,,+27 76 254 8385,83 Donnelly St - Turffontein - Johannesburg South - 2091 - South Africa,,,,,,,,-26.240562500000003,28.03806249999998
Inkasi Tattoo,4.7,123,https://www.facebook.com/inKasiTattoo/,+27 81 500 0359,10680 Bhele St - Pimville Zone 1 - Soweto - 1809 - South Africa,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.,-26.2599375,27.912562499999993
Purple Dragon,4.9,41,,+27 76 880 0961,31 - Mindalore - Johannesburg - 1739 - South Africa,,,,,,,,-26.127187499999998,27.8280625
The Golden Tiki,4.8,31,https://goldentiki.co.za/,+27 82 619 6055,60 4th Ave - Linden - Randburg - 2104 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-26.1403125,27.992312499999983
Souza Super Naturals,,,,+27 72 205 6055,UNIT 2 - 19 Henri St - Braamfontein - Johannesburg - 2000 - South Africa,,,,,,,,-26.1938125,28.031062500000004
Basiaink,5.0,1,https://www.facebook.com/basiaINK,+27 74 207 5189,67 Grant Ave - Norwood - Johannesburg - 2192 - South Africa,8a.m. - 5p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,2 - 6p.m.,-26.157937500000003,28.076187500000017
Assari Tattoo Studio,4.8,59,https://www.assaritattoostudio.com/,+27 76 964 6193,Assari Tattoo Studio Stoneridge Dr & - Greenstone Pl - Greenstone Hill - Modderfontein - 1609 - South Africa,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.,-26.121937499999994,28.142437499999986
Da Time Machine Studios,,,,+27 10 410 5497,11 Broad St - Park Central - Johannesburg - 2001 - South Africa,10a.m. - 12a.m.,Closed,Closed,Closed,Closed,Closed,Closed,-26.215562500000004,28.04056249999998
Fantasy Tattoos,4.9,22,,+27 82 804 4834,Cnr Jochem Van Bruggen and Nelson Mandela Ave Opposite Lua Cafe Grey business complex - Alberton - 1449 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 5p.m.,9a.m. - 2p.m.,-26.286437499999998,28.105687500000002
Tattoo Styles,4.6,39,tattoostyles.co.za,+27 82 415 6023,55 Van Buuren Rd - Bedfordview - Germiston - 2007 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,Closed,-26.1790625,28.136562499999982
Beneath The Surface,4.7,42,beneaththesurface.co.za,+27 79 648 3566,Merrow down plaza - 71 troupant Avenue Magaliessig - Fourways - Johannesburg - 2191 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,Closed,-26.027437499999998,28.02081250000002
Bong'S Tattos,4.2,6,,+27 74 551 9787,275 Odendaal Rd - Meadowlands - Johannesburg - 1852 - South Africa,,,,,,,,-26.2186875,27.9001875
Blackrose Tattoos,4.9,56,blackrosetattoos.co.za,+27 72 114 3252,12 Ebbehout St - Sharonlea - Randburg - 2194 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,-26.064312500000007,27.963812499999975
Bigmike Tattoos,5.0,2,,+27 60 525 1362,Plaza Brd Road - Florida - Johannesburg - 2001 - South Africa,,,,,,,,-26.172312500000004,27.910187499999992
The Painted Lady Tattoo,4.7,100,,+27 11 783 9991,72 11th St - Parkmore - Sandton - 2196 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-26.094812500000003,28.038187500000006
V.I.P Tattoo Crew,5.0,2,,+27 71 361 0998,14a Kloof Road Oriel - Bedfordview - Johannesburg - 2007 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-26.1860625,28.129687500000003
Steamed Rabbit Tattoos,4.9,44,steamedrabbit.co.za,+27 79 638 2741,The Tattoo Gallery Honeycrest Shopping Center - Randpark Ridge - Johannesburg - 2169 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.0938125,27.940937500000004
Jenny'S Tattoos & Body Piercing,4.8,232,jennystattoos.co.za,+27 82 856 3110,Shop 3 The Lemon Tree Shopping Center Ascott road cnr. Swartkoppies & Heidelberg road Newmarket - Alberton - 1449 - South Africa,Closed,9a.m. - 3p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.,9a.m. - 3p.m.,8a.m. - 12p.m.,Closed,-26.280187500000004,28.12456250000001
Linkup Inkup Tattoo And Body Piercing Studios,5.0,1,https://linkup-inkup-tattoo-and-body-piercing.business.site/?utm_source=gmb&utm_medium=referral,+27 78 106 5176,69 Raleigh St - Yeoville - Johannesburg - 0027 - South Africa,8a.m. - 7:30p.m.,Closed,8a.m. - 7:30p.m.,8a.m. - 7:30p.m.,8a.m. - 7:30p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,-26.181062500000003,28.063937499999994
Brand Tattoo,4.2,5,brandtattoo.co.za,+27 11 835 3067,5 4th St - Booysens Reserve - Johannesburg South - 2091 - South Africa,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,8a.m. - 4:30p.m.,Closed,Closed,-26.230812500000006,28.006562499999987
Inklings Private Tattoo Studio,,,,,6th Ave - Highlands North - Johannesburg - 2192 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed,-26.145312500000003,28.081437500000007
Jaded Ink,4.8,105,jadedink.co.za,+27 11 658 1736,above Portuguese Restaurant - Northlands Corner - cnr Witkoppen & New Market Road Shop F5C - 1st Floor - Hoogland - Randburg - 2194 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 1p.m.,-26.040187500000002,27.95681249999997
Ink Steyn Tattoo Studio,5.0,1,,+27 76 392 5111,Bedfordview - 33 St Christopher Rd - St Andrews - Johannesburg - 2007 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.155437500000005,28.131312499999993
Autumn Tattoo Studio,5.0,34,,+27 81 311 6500,22 Valley Rd - Bordeaux - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.099937500000003,28.015812499999996
Kustom Ink,4.3,85,kustomink.co.za,+27 64 673 7034,22 St Andrews Ave - Bordeaux - Randburg - 2194 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-26.093062500000002,28.010312499999984
Shadow Line Tattoos,4.5,84,,+27 73 628 0875,Shop 14 - Noordheuwel Mall - 110 Van Oordt St - Krugersdorp - Johannesburg - 1734 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,10a.m. - 5p.m.,-26.083312500000005,27.801937500000022
420 Ink Sa,4.8,18,https://420inksa.business.site/,,Randview Shopping Centre - Jan Smuts - corner Republic Rd - Randburg - 2031 - South Africa,Closed,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,-26.0988125,28.009812499999995
Ajayink Tattoos,,,https://ajayink-tattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 81 306 5664,42 Alexandra St - Berea - Johannesburg - 2001 - South Africa,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,7a.m. - 12a.m.,-26.186437500000004,28.054312499999995
Sheknows Ink Tattoo Studio,4.9,90,https://www.facebook.com/sheknowsink,+27 76 421 1063,93 Bram Fischer Dr - Ferndale - Randburg - 2194 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.111562499999998,27.9999375
Awhe Tattoo & Lifestyle Studio,4.9,245,awhetattoo.co.za,+27 72 248 0092,100 Elizabeth Rd - El Ridge Office Park D5 - Bartlett - Boksburg - 1460 - South Africa,9a.m. - 6p.m.,9a.m. - 10p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,-26.166812500000006,28.274562500000016
Levitation Tattoo,5.0,19,levitationtattoo.co.za,+27 63 164 8842,51 Highcliff Way - Northcliff - Randburg - 2195 - South Africa,9a.m. - 5p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,Closed,-26.1499375,27.96068749999999
Manne Ink,,,https://manne-ink.business.site/?utm_source=gmb&utm_medium=referral,+27 67 776 7592,46 Biccard St - Braamfontein - Johannesburg - 2000 - South Africa,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,8a.m. - 8p.m.,-26.192062500000006,28.037062500000005
Evil Ink Tattoos,4.8,9,,+27 73 373 5897,28 Hoeveld Rd - Ruimsig - Honeydew - 1724 - South Africa,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,9a.m. - 6p.m.,Closed,-26.0853125,27.8881875
Tattoo Maniacs Jhb,5.0,4,business.site,+27 67 321 8403,73 Field Rd - Witfield - Johannesburg - 1460 - South Africa,,,,,,,,-26.184937500000004,28.21793749999999
Inkgenics,4.9,53,https://inkgenics.co.za/,+27 82 887 7040,56 Aletta Ave - Highway Gardens - Edenvale - 1609 - South Africa,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,-26.1403125,28.177312500000014
L'Encre Tattoo Studio,5.0,2,https://lencre1609tattoo.wixsite.com/lecre,+27 60 957 4595,16 Cecil Awret Rd - Edenvale - Johannesburg - 1609 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,11a.m. - 2p.m.,Closed,-26.117687500000002,28.17343750000002
Tattiki Tattoo,,,,+27 11 824 4357,South Rd - Linden - Johannesburg - 2104 - South Africa,,,,,,,,-26.125187500000003,27.994187499999967
Top 2 Bottom Tattoo Co.,5.0,1,,+27 84 025 2022,78 3rd Ave - Linden - Johannesburg - 2195 - South Africa,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 2:30p.m.,Closed,-26.133562499999996,27.990937499999987
Razztatt Ink Tattoos,,,,+27 79 965 3635,36 Arbedene Street Westdene - Brixton - Johannesburg - 2291 - South Africa,Closed,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 6a.m.,11a.m. - 9a.m.,11a.m. - 9a.m.,-26.182437500000006,27.990562499999967
Quidink Tattoos,5.0,5,https://quidinktattoos.business.site/?utm_source=gmb&utm_medium=referral,+27 79 119 9561,15 Cosmos Ave - Linden - Randburg - 2104 - South Africa,10a.m. - 10:30p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,-26.134437499999997,27.984312499999973
Alberante Ink (Tattoo Saloon),5.0,13,https://www.facebook.com/tattoosaloon.co.za?_rdc=1&_rdr,+27 73 175 1024,11 Meredy St - Randhart - Alberton - 1457 - South Africa,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 10p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-26.2905625,28.1178125
Inksane Tattoos And Body Piercings,,,,+27 63 078 3006,Ottawa mall - 94 Helen Joseph St - Johannesburg - 2001 - South Africa,,,,,,,,-26.2036875,28.04606249999999
Rose Gold Tattoos,5.0,16,facebook.com,+27 82 829 0323,11 Hennie Alberts St - Brackenhurst - Alberton - 1448 - South Africa,Closed,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,10a.m. - 6:30p.m.,Closed,-26.307062500000008,28.09543749999999
Greedy Bear Tattoos,4.7,27,,+27 84 424 1717,818 Dhlomo Ln - Mofolo Central - Soweto - 1801 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 6p.m.,-26.2359375,27.885562499999978
Godrich Inkz Tattoos,5.0,4,,+27 61 446 9358,39 butshingi Orlando west soweto - Johannesburg - 1804 - South Africa,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 7p.m.,7a.m. - 6p.m.,-26.241062499999998,27.900812500000015
The Goth Spot,5.0,13,thegothspot.com,+27 65 691 3800,3 1st Rd - Greymont - Randburg - 2195 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.16668750000001,27.967812499999994
Kyle B Tattoo,,,,,249 Barry Hertzog Ave - Emmarentia - Randburg - 2195 - South Africa,,,,,,,,-26.145812500000005,28.007937499999983
